A,B,C,D,E,F
31,270.53,32,227.32,72.0854,50.4747
12,99.22,25,171.34,89.8243,30.929
10,81.2,12,67.37,-42.1645,-52.0687
9,72.14,21,139.26,-56.6389,-69.9431
35,306.1,4,3.43,-1.62785,-4.72759
30,261.35,24,163.51,31.5581,9.64826
14,117.34,10,51.37,25.034,10.1144
6,45.06,20,131.35,87.9043,13.9227
26,225.07,23,155.24,3.58126,10.4007
5,36.24,39,283.26,-53.9895,-10.4945
37,324.44,4,2.98,5.78841,20.1865
34,297.45,18,115.53,-15.3209,-12.8557
33,288.23,27,187.43,-3.35468,-2.17855
12,99.19,39,283.12,-56.422,-17.2499
13,108.55,1,-20.79,83.0284,53.9192
10,81.34,25,171.03,36.8712,9.19302
7,54.21,27,187.03,82.4891,74.2734
3,18.15,25,171.47,34.6725,27.0891
39,342.45,27,187.07,2.92311,0.674853
12,99.14,26,179.43,-18.5848,-3.95032
4,27.01,14,83.27,-77.9423,-45
9,72.55,21,139.53,72.4522,62.9816
15,126.08,24,163.49,-44.739,-63.8938
25,216.5,28,195.09,-96.056,-13.4998
32,279.44,32,227.47,15.9987,28.8624
27,234.07,30,212.31,-53.4604,-27.2394
19,162.18,2,-12.91,-50.2046,-50.2046
38,333.21,22,147.39,-15.5139,-27.9878
14,117.22,9,43.51,-50.3721,-7.97815
38,332.98,3,-4.93,-57.0152,-78.4746
8,62.99,19,123.35,20.9485,73.0559
23,198.44,20,131.54,0,0
8,63.07,5,11.07,-70.477,-25.6515
26,225.36,22,147.04,5.69432,12.7896
31,270.21,24,163.31,-79.7165,-49.8124
3,18.12,1,-20.69,-87.448,-37.1194
25,215.97,5,11.14,-46.075,-41.4861
6,45.23,20,131,44.0001,76.2102
20,171.03,36,259.19,-26.179,-61.6738
33,288.33,6,19.46,58.2609,21.2052
28,243.55,20,131.27,-7.41747,-2.99685
8,63.15,38,275.02,12.8575,7.72557
15,126.31,34,243.12,-30.6183,-4.84946
32,279.27,20,131.25,21.1907,11.2673
3,18.47,21,139.26,52.0939,27.6988
6,45.45,21,139.43,-24.2405,-43.731
4,27.27,24,163.31,-44.7535,-4.70378
30,260.99,5,11.33,-31.3988,-40.1885
30,261.3,29,203.47,12.7367,31.5242
